author_id,bio,first_name,last_name
4,"Shkrimtar, Lindur me 28.01.1936, Gjirokaster",Ismail,Kadare
6,"Shkrimtar, Lindur me 13.10.1931, Devoll",Dritero,Agolli
7,"Shkrimtar, Lindur me 16.09.1914, Korce",Sterjo,Spasse
8,"Shkrimtar, Lindur me 28.08.1828, Rusi",Leo,Tolstoi
9,"Shkrimtar, Lindur me 19.02.2016, US",Nelle  Harper,Lee
10,"Shkrimtar, Lindur me 02.07.1961, US",Ernest,Hemingwai
